Departamento,Provincia,Distrito,Sexo,Edad,Donacion,Cantidad
Cajamarca,Cutervo,Cutervo,Hombre,18,NE,449
Cajamarca,Cutervo,Cutervo,Hombre,19,SI,10
Cajamarca,Cutervo,Cutervo,Hombre,19,NO,121
Cajamarca,Cutervo,Cutervo,Hombre,19,NE,367
Cajamarca,Cutervo,Cutervo,Hombre,20,SI,18
Cajamarca,Cutervo,Cutervo,Hombre,20,NO,99
Cajamarca,Cutervo,Cutervo,Hombre,20,NE,369
Cajamarca,Cutervo,Cutervo,Hombre,21,SI,14
Cajamarca,Cutervo,Cutervo,Hombre,21,NO,154
Cajamarca,Cutervo,Cutervo,Hombre,21,NE,359
Cajamarca,Cutervo,Cutervo,Hombre,22,SI,21
Cajamarca,Cutervo,Cutervo,Hombre,22,NO,164
Cajamarca,Cutervo,Cutervo,Hombre,22,NE,286
Cajamarca,Cutervo,Cutervo,Hombre,23,SI,18
Cajamarca,Cutervo,Cutervo,Hombre,23,NO,203
Cajamarca,Cutervo,Cutervo,Hombre,23,NE,214
Cajamarca,Cutervo,Cutervo,Hombre,24,SI,24
Cajamarca,Cutervo,Cutervo,Hombre,24,NO,239
Cajamarca,Cutervo,Cutervo,Hombre,24,NE,217
Cajamarca,Cutervo,Cutervo,Hombre,25,SI,24
Cajamarca,Cutervo,Cutervo,Hombre,25,NO,301
Cajamarca,Cutervo,Cutervo,Hombre,25,NE,93
Cajamarca,Cutervo,Cutervo,Mujer,18,SI,4
Cajamarca,Cutervo,Cutervo,Mujer,18,NO,45
Cajamarca,Cutervo,Cutervo,Mujer,18,NE,420
Cajamarca,Cutervo,Cutervo,Mujer,19,SI,12
Cajamarca,Cutervo,Cutervo,Mujer,19,NO,98
Cajamarca,Cutervo,Cutervo,Mujer,19,NE,375
Cajamarca,Cutervo,Cutervo,Mujer,20,SI,16
Cajamarca,Cutervo,Cutervo,Mujer,20,NO,101
Cajamarca,Cutervo,Cutervo,Mujer,20,NE,371
Cajamarca,Cutervo,Cutervo,Mujer,21,SI,20
Cajamarca,Cutervo,Cutervo,Mujer,21,NO,147
Cajamarca,Cutervo,Cutervo,Mujer,21,NE,377
Cajamarca,Cutervo,Cutervo,Mujer,22,SI,25
Cajamarca,Cutervo,Cutervo,Mujer,22,NO,168
Cajamarca,Cutervo,Cutervo,Mujer,22,NE,345
Cajamarca,Cutervo,Cutervo,Mujer,23,SI,19
Cajamarca,Cutervo,Cutervo,Mujer,23,NO,216
Cajamarca,Cutervo,Cutervo,Mujer,23,NE,267
Cajamarca,Cutervo,Cutervo,Mujer,24,SI,18
Cajamarca,Cutervo,Cutervo,Mujer,24,NO,202
Cajamarca,Cutervo,Cutervo,Mujer,24,NE,250
Cajamarca,Cutervo,Cutervo,Mujer,25,SI,28
Cajamarca,Cutervo,Cutervo,Mujer,25,NO,332
Cajamarca,Cutervo,Cutervo,Mujer,25,NE,139
Cajamarca,Cutervo,Callayuc,Hombre,18,NO,22
Cajamarca,Cutervo,Callayuc,Hombre,18,NE,89
Cajamarca,Cutervo,Callayuc,Hombre,19,NO,40
Cajamarca,Cutervo,Callayuc,Hombre,19,NE,65
Cajamarca,Cutervo,Callayuc,Hombre,20,NO,31
Cajamarca,Cutervo,Callayuc,Hombre,20,NE,92
Cajamarca,Cutervo,Callayuc,Hombre,21,SI,1
Cajamarca,Cutervo,Callayuc,Hombre,21,NO,31
Cajamarca,Cutervo,Callayuc,Hombre,21,NE,71
Cajamarca,Cutervo,Callayuc,Hombre,22,SI,4
Cajamarca,Cutervo,Callayuc,Hombre,22,NO,38
Cajamarca,Cutervo,Callayuc,Hombre,22,NE,57
Cajamarca,Cutervo,Callayuc,Hombre,23,SI,4
Cajamarca,Cutervo,Callayuc,Hombre,23,NO,47
Cajamarca,Cutervo,Callayuc,Hombre,23,NE,55
Cajamarca,Cutervo,Callayuc,Hombre,24,SI,4
Cajamarca,Cutervo,Callayuc,Hombre,24,NO,48
Cajamarca,Cutervo,Callayuc,Hombre,24,NE,54
Cajamarca,Cutervo,Callayuc,Hombre,25,SI,1
Cajamarca,Cutervo,Callayuc,Hombre,25,NO,72
Cajamarca,Cutervo,Callayuc,Hombre,25,NE,37
Cajamarca,Cutervo,Callayuc,Mujer,18,SI,2
Cajamarca,Cutervo,Callayuc,Mujer,18,NO,22
Cajamarca,Cutervo,Callayuc,Mujer,18,NE,89
Cajamarca,Cutervo,Callayuc,Mujer,19,SI,1
Cajamarca,Cutervo,Callayuc,Mujer,19,NO,36
Cajamarca,Cutervo,Callayuc,Mujer,19,NE,53
Cajamarca,Cutervo,Callayuc,Mujer,20,NO,14
Cajamarca,Cutervo,Callayuc,Mujer,20,NE,67
Cajamarca,Cutervo,Callayuc,Mujer,21,SI,5
Cajamarca,Cutervo,Callayuc,Mujer,21,NO,32
Cajamarca,Cutervo,Callayuc,Mujer,21,NE,70
Cajamarca,Cutervo,Callayuc,Mujer,22,NO,28
Cajamarca,Cutervo,Callayuc,Mujer,22,NE,59
Cajamarca,Cutervo,Callayuc,Mujer,23,SI,2
Cajamarca,Cutervo,Callayuc,Mujer,23,NO,52
Cajamarca,Cutervo,Callayuc,Mujer,23,NE,53
Cajamarca,Cutervo,Callayuc,Mujer,24,NO,51
Cajamarca,Cutervo,Callayuc,Mujer,24,NE,56
Cajamarca,Cutervo,Callayuc,Mujer,25,SI,4
Cajamarca,Cutervo,Callayuc,Mujer,25,NO,60
Cajamarca,Cutervo,Callayuc,Mujer,25,NE,35
Cajamarca,Cutervo,Querocotillo,Hombre,18,SI,1
Cajamarca,Cutervo,Querocotillo,Hombre,18,NO,32
Cajamarca,Cutervo,Querocotillo,Hombre,18,NE,139
Cajamarca,Cutervo,Querocotillo,Hombre,19,SI,3
Cajamarca,Cutervo,Querocotillo,Hombre,19,NO,60
Cajamarca,Cutervo,Querocotillo,Hombre,19,NE,92
Cajamarca,Cutervo,Querocotillo,Hombre,20,SI,2
Cajamarca,Cutervo,Querocotillo,Hombre,20,NO,43
Cajamarca,Cutervo,Querocotillo,Hombre,20,NE,103
Cajamarca,Cutervo,Querocotillo,Hombre,21,SI,2
Cajamarca,Cutervo,Querocotillo,Hombre,21,NO,47
Cajamarca,Cutervo,Querocotillo,Hombre,21,NE,98
Cajamarca,Cutervo,Querocotillo,Hombre,22,SI,5
Cajamarca,Cutervo,Querocotillo,Hombre,22,NO,71
Cajamarca,Cutervo,Querocotillo,Hombre,22,NE,100
Cajamarca,Cutervo,Querocotillo,Hombre,23,SI,2
Cajamarca,Cutervo,Querocotillo,Hombre,23,NO,65
Cajamarca,Cutervo,Querocotillo,Hombre,23,NE,84
Cajamarca,Cutervo,Querocotillo,Hombre,24,SI,12
Cajamarca,Cutervo,Querocotillo,Hombre,24,NO,66
Cajamarca,Cutervo,Querocotillo,Hombre,24,NE,57
Cajamarca,Cutervo,Querocotillo,Hombre,25,SI,8
Cajamarca,Cutervo,Querocotillo,Hombre,25,NO,84
Cajamarca,Cutervo,Querocotillo,Hombre,25,NE,38
Cajamarca,Cutervo,Querocotillo,Mujer,18,SI,1
Cajamarca,Cutervo,Querocotillo,Mujer,18,NO,34
Cajamarca,Cutervo,Querocotillo,Mujer,18,NE,108
Cajamarca,Cutervo,Querocotillo,Mujer,19,SI,2
Cajamarca,Cutervo,Querocotillo,Mujer,19,NO,53
Cajamarca,Cutervo,Querocotillo,Mujer,19,NE,84
Cajamarca,Cutervo,Querocotillo,Mujer,20,SI,1
Cajamarca,Cutervo,Querocotillo,Mujer,20,NO,43
Cajamarca,Cutervo,Querocotillo,Mujer,20,NE,103
Cajamarca,Cutervo,Querocotillo,Mujer,21,SI,3
Cajamarca,Cutervo,Querocotillo,Mujer,21,NO,39
Cajamarca,Cutervo,Querocotillo,Mujer,21,NE,108
Cajamarca,Cutervo,Querocotillo,Mujer,22,SI,7
Cajamarca,Cutervo,Querocotillo,Mujer,22,NO,46
Cajamarca,Cutervo,Querocotillo,Mujer,22,NE,80
Cajamarca,Cutervo,Querocotillo,Mujer,23,SI,2
Cajamarca,Cutervo,Querocotillo,Mujer,23,NO,64
Cajamarca,Cutervo,Querocotillo,Mujer,23,NE,74
Cajamarca,Cutervo,Querocotillo,Mujer,24,SI,6
Cajamarca,Cutervo,Querocotillo,Mujer,24,NO,67
Cajamarca,Cutervo,Querocotillo,Mujer,24,NE,68
Cajamarca,Cutervo,Querocotillo,Mujer,25,SI,5
Cajamarca,Cutervo,Querocotillo,Mujer,25,NO,78
Cajamarca,Cutervo,Querocotillo,Mujer,25,NE,31
Cajamarca,Cutervo,Socota,Hombre,18,SI,2
Cajamarca,Cutervo,Socota,Hombre,18,NO,13
Cajamarca,Cutervo,Socota,Hombre,18,NE,89
Cajamarca,Cutervo,Socota,Hombre,19,NO,35
Cajamarca,Cutervo,Socota,Hombre,19,NE,62
Cajamarca,Cutervo,Socota,Hombre,20,NO,19
Cajamarca,Cutervo,Socota,Hombre,20,NE,75
Cajamarca,Cutervo,Socota,Hombre,21,SI,7
Cajamarca,Cutervo,Socota,Hombre,21,NO,21
Cajamarca,Cutervo,Socota,Hombre,21,NE,63
Cajamarca,Cutervo,Socota,Hombre,22,SI,1
Cajamarca,Cutervo,Socota,Hombre,22,NO,42
Cajamarca,Cutervo,Socota,Hombre,22,NE,66
Cajamarca,Cutervo,Socota,Hombre,23,SI,2
Cajamarca,Cutervo,Socota,Hombre,23,NO,41
